episode,total_reward,steps,laps
783,106.0533,109,0
784,96.1484,99,0
785,96.3441,99,0
786,23.6893,27,0
787,88.5553,91,0
788,1857.8953,2000,2
789,1840.0230,2000,2
790,1855.7783,2000,2
791,91.3107,93,0
792,98.3535,101,0
793,1945.7750,2000,2
794,91.5815,93,0
795,30.1799,33,0
796,103.0489,104,0
797,73.7205,75,0
798,92.0328,93,0
799,94.5848,95,0
800,29.0875,32,0
801,97.6311,100,0
802,74.4709,75,0
803,90.0550,91,0
804,8.9392,13,0
805,90.4486,91,0
806,92.2440,93,0
807,177.1124,173,0
808,16.7485,20,0
809,89.8648,90,0
810,80.6114,82,0
811,80.3911,81,0
812,89.2248,90,0
813,88.4100,90,0
814,16.7505,20,0
815,30.1120,33,0
816,90.5068,92,0
817,16.7464,20,0
818,31.2735,34,0
819,97.7031,100,0
820,96.0568,99,0
821,92.2190,93,0
822,28.9972,32,0
823,8.9488,13,0
824,90.5752,92,0
825,96.5331,99,0
826,8.9456,13,0
827,88.6108,90,0
828,95.8506,99,0
829,96.5224,99,0
830,107.7758,110,0
831,127.7478,124,0
832,30.1826,33,0
833,30.2012,33,0
834,107.2364,109,0
835,98.0015,100,0
836,920.8217,941,1
837,1577.9012,1665,2
838,29.0012,32,0
839,100.3975,102,0
840,1881.5643,2000,2
841,30.1646,33,0
842,126.5690,124,0
843,1822.1773,2000,2
844,1501.6945,1665,2
845,30.2435,33,0
846,87.7342,90,0
847,88.7914,90,0
848,1775.1611,2000,2
849,108.0822,110,0
850,1780.7627,2000,2
851,1765.0620,2000,2
852,1812.9664,2000,2
853,1810.6545,2000,2
854,884.0524,953,1
855,175.1043,173,0
856,91.7630,93,0
857,16.7327,20,0
858,30.1442,33,0
859,91.0336,93,0
860,30.0922,33,0
861,1865.0247,2000,2
862,8.9506,13,0
863,1823.6480,2000,2
864,91.0363,93,0
865,1866.6342,2000,2
866,167.0557,167,0
867,90.7545,93,0
868,100.2317,101,0
869,1852.4121,2000,2
870,30.0417,33,0
871,1831.2238,2000,2
872,1817.2338,2000,2
873,1846.8443,2000,2
874,1852.2460,2000,2
875,922.0221,949,1
876,1970.2738,2000,2
877,108.8712,111,0
878,8.9376,13,0
879,23.7019,27,0
880,1694.7342,1705,2
881,92.5158,94,0
882,99.9295,103,0
883,30.1311,33,0
884,98.7582,101,0
885,99.0843,102,0
886,127.0057,124,0
887,100.6894,103,0
888,126.4302,124,0
889,19.9886,23,0
890,1941.3493,2000,2
891,127.3378,124,0
892,169.8706,172,0
893,1955.4355,2000,2
894,1896.8518,2000,2
895,109.1410,112,0
896,1893.5281,2000,2
897,1844.3405,2000,2
898,1839.3282,2000,2
899,1836.7052,2000,2
900,23.6999,27,0
901,23.5936,27,0
902,8.9419,13,0
903,23.6840,27,0
904,1620.4220,1737,2
905,220.2142,216,0
906,181.9815,178,0
907,1948.8419,2000,2
908,8.9280,13,0
909,8.9515,13,0
910,1908.2819,2000,2
911,1907.9800,2000,2
912,30.1544,33,0
913,30.0806,33,0
914,171.4668,171,0
915,165.6646,166,0
916,1961.1381,2000,2
917,1955.7242,2000,2
918,172.9102,171,0
919,107.4079,109,0
920,1956.6974,2000,2
921,1919.7507,2000,2
922,1967.2882,2000,2
923,8.9466,13,0
924,30.0454,33,0
925,162.2621,164,0
926,1689.2164,1705,2
927,167.9464,166,0
928,31.0702,34,0
929,30.1690,33,0
930,1995.1678,2000,2
931,180.9489,178,0
932,135.1111,133,0
933,30.0622,33,0
934,1949.8041,2000,2
935,1950.8824,2000,2
936,30.1662,33,0
937,170.1473,172,0
938,8.9503,13,0
939,1915.8852,2000,2
940,1900.9898,2000,2
941,1912.3484,2000,2
942,1934.8941,2000,2
943,30.1864,33,0
944,1917.2521,2000,2
945,8.9397,13,0
946,1960.1181,2000,2
947,23.7181,27,0
948,1987.5691,2000,2
949,934.1970,943,1
950,8.9386,13,0
951,126.8847,124,0
952,172.6512,171,0
953,2010.0360,2000,2
954,1726.4871,1742,2
955,166.1842,166,0
956,123.3549,121,0
957,107.2839,110,0
958,99.3138,101,0
959,171.1290,171,0
960,31.0446,34,0
961,31.1109,34,0
962,172.3581,171,0
963,99.3486,101,0
964,109.5329,112,0
965,96.7282,99,0
966,101.0708,103,0
967,30.1791,33,0
968,2005.7935,2000,2
969,1984.3979,2000,2
970,2015.6944,2000,2
971,23.7299,27,0
972,1980.6776,2000,2
973,1994.7285,2000,2
974,30.0945,33,0
975,30.0951,33,0
976,30.1553,33,0
977,171.5629,172,0
978,97.1050,100,0
979,1968.6291,2000,2
980,2005.8228,2000,2
981,30.2844,33,0
982,116.6882,114,0
983,171.2383,171,0
984,1978.7162,2000,2
985,2021.4333,2000,2
986,979.8999,969,1
987,2017.0262,2000,2
988,30.2026,33,0
989,31.1140,34,0
990,1710.3768,1704,2
991,171.0974,171,0
992,1633.6427,1646,2
993,179.7664,173,0
994,115.6663,113,0
995,108.3540,112,0
996,100.4684,103,0
997,164.9346,163,0
998,1998.2616,2000,2
999,8.9428,13,0
1000,1953.0788,2000,2
1001,1923.4617,2000,2
1002,1948.7962,2000,2
1003,1951.7359,2000,2
1004,1976.1112,2000,2
1005,98.6320,103,0
1006,2022.8550,2000,2
1007,109.2481,112,0
1008,2025.2518,2000,2
1009,2025.9154,2000,2
1010,30.1598,33,0
1011,1672.5677,1637,2
1012,734.1361,722,1
1013,94.5516,99,0
1014,2014.2543,2000,2
1015,30.1275,33,0
1016,112.3911,112,0
1017,1989.4452,2000,2
